[49:32] [info] OpenGOAL Compiler 1.0
[49:32] [info] [XSocketServer:8181] initialized
[49:32] [info] [nREPL:8181:272] awaiting connections
Loaded project goal_src/jak1/game.gp with 1326 steps in 107 ms
Jak 1 Mode
[49:35] [info] [nREPL:8181]: New socket connection: 127.0.0.1:56481:288
Successfully found all 1307 dependencies for target in 0.007s
Found that 544 of 1307 targets do need rebuilding in 0.206s
Building 544 targets...
[  0%] [goalc   ]       goal_src/jak1/kernel/gcommon.gc                                       [  0%] [goalc   ] 0.047 goal_src/jak1/kernel/gcommon.gc                                       
[  0%] [goalc   ]       goal_src/jak1/kernel/gstring-h.gc                                     [  0%] [goalc   ] 0.001 goal_src/jak1/kernel/gstring-h.gc                                     
[  1%] [goalc   ]       goal_src/jak1/kernel/gkernel-h.gc                                     [  1%] [goalc   ] 0.015 goal_src/jak1/kernel/gkernel-h.gc                                     
[  1%] [goalc   ]       goal_src/jak1/kernel/gkernel.gc                                       [  1%] [goalc   ] [38;2;255;255;000m0.073 [0mgoal_src/jak1/kernel/gkernel.gc                                       
[  1%] [goalc   ]       goal_src/jak1/kernel/pskernel.gc                                      [  1%] [goalc   ] 0.008 goal_src/jak1/kernel/pskernel.gc                                      
[  1%] [goalc   ]       goal_src/jak1/kernel/gstring.gc                                       [  1%] [goalc   ] [38;2;255;255;000m0.052 [0mgoal_src/jak1/kernel/gstring.gc                                       
[  1%] [goalc   ]       goal_src/jak1/kernel/dgo-h.gc                                         [  1%] [goalc   ] 0.002 goal_src/jak1/kernel/dgo-h.gc                                         
[  1%] [goalc   ]       goal_src/jak1/kernel/gstate.gc                                        [  1%] [goalc   ] 0.010 goal_src/jak1/kernel/gstate.gc                                        
[  2%] [dgo     ]       goal_src/jak1/dgos/kernel.gd                                          [  2%] [dgo     ] 0.010 goal_src/jak1/dgos/kernel.gd                                          
[  2%] [goalc   ]       goal_src/jak1/engine/util/types-h.gc                                  [  2%] [goalc   ] 0.009 goal_src/jak1/engine/util/types-h.gc                                  
[  2%] [goalc   ]       goal_src/jak1/engine/ps2/vu1-macros.gc                                [  2%] [goalc   ] 0.007 goal_src/jak1/engine/ps2/vu1-macros.gc                                
[  2%] [goalc   ]       goal_src/jak1/engine/math/math.gc                                     [  2%] [goalc   ] 0.020 goal_src/jak1/engine/math/math.gc                                     
[  2%] [goalc   ]       goal_src/jak1/engine/math/vector-h.gc                                 [  2%] [goalc   ] 0.037 goal_src/jak1/engine/math/vector-h.gc                                 
[  3%] [goalc   ]       goal_src/jak1/engine/physics/gravity-h.gc                             [  3%] [goalc   ] 0.001 goal_src/jak1/engine/physics/gravity-h.gc                             
[  3%] [goalc   ]       goal_src/jak1/engine/geometry/bounding-box-h.gc                       [  3%] [goalc   ] 0.002 goal_src/jak1/engine/geometry/bounding-box-h.gc                       
[  3%] [goalc   ]       goal_src/jak1/engine/math/matrix-h.gc                                 [  3%] [goalc   ] 0.004 goal_src/jak1/engine/math/matrix-h.gc                                 
[  3%] [goalc   ]       goal_src/jak1/engine/math/quaternion-h.gc                             [  3%] [goalc   ] 0.002 goal_src/jak1/engine/math/quaternion-h.gc                             
[  3%] [goalc   ]       goal_src/jak1/engine/math/euler-h.gc                                  [  3%] [goalc   ] 0.002 goal_src/jak1/engine/math/euler-h.gc                                  
[  3%] [goalc   ]       goal_src/jak1/engine/math/transform-h.gc                              [  3%] [goalc   ] 0.002 goal_src/jak1/engine/math/transform-h.gc                              
[  4%] [goalc   ]       goal_src/jak1/engine/geometry/geometry-h.gc                           [  4%] [goalc   ] 0.003 goal_src/jak1/engine/geometry/geometry-h.gc                           
[  4%] [goalc   ]       goal_src/jak1/engine/math/trigonometry-h.gc                           [  4%] [goalc   ] 0.001 goal_src/jak1/engine/math/trigonometry-h.gc                           
[  4%] [goalc   ]       goal_src/jak1/engine/math/transformq-h.gc                             [  4%] [goalc   ] 0.005 goal_src/jak1/engine/math/transformq-h.gc                             
[  4%] [goalc   ]       goal_src/jak1/engine/geometry/bounding-box.gc                         [  4%] [goalc   ] 0.007 goal_src/jak1/engine/geometry/bounding-box.gc                         
[  4%] [goalc   ]       goal_src/jak1/engine/math/matrix.gc                                   [  4%] [goalc   ] [38;2;255;255;000m0.053 [0mgoal_src/jak1/engine/math/matrix.gc                                   
[  5%] [goalc   ]       goal_src/jak1/engine/math/transform.gc                                [  5%] [goalc   ] 0.005 goal_src/jak1/engine/math/transform.gc                                
[  5%] [goalc   ]       goal_src/jak1/engine/math/quaternion.gc                               [  5%] [goalc   ] 0.035 goal_src/jak1/engine/math/quaternion.gc                               
[  5%] [goalc   ]       goal_src/jak1/engine/math/euler.gc                                    [  5%] [goalc   ] 0.011 goal_src/jak1/engine/math/euler.gc                                    
[  5%] [goalc   ]       goal_src/jak1/engine/geometry/geometry.gc                             [  5%] [goalc   ] 0.050 goal_src/jak1/engine/geometry/geometry.gc                             
[  5%] [goalc   ]       goal_src/jak1/engine/math/trigonometry.gc                             [  5%] [goalc   ] 0.027 goal_src/jak1/engine/math/trigonometry.gc                             
[  6%] [goalc   ]       goal_src/jak1/engine/sound/gsound-h.gc                                [  6%] [goalc   ] 0.031 goal_src/jak1/engine/sound/gsound-h.gc                                
